Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202507020211,第61回東海テレビ杯金鯱賞(GII),4,4,5,デシエルト,202507020211|5|デシエルト,5,牡6,57,武豊,2:01.7,1/2,1-1-1-1,39.0,536(+4),[西] 安田翔伍,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),5,5,7,ディープモンスター,202507020211|7|ディープモンスター,7,牡7,57,松山弘平,2:01.9,1,6-6-4-4,36.8,464(-2),[西] 池江泰寿,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),6,6,8,プログノーシス,202507020211|8|プログノーシス,7,牡7,58,西村淳也,2:02.3,2.1/2,9-9-9-7,36.8,484(+10),[西] 中内田充,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),7,7,10,マイネルモーント,202507020211|10|マイネルモーント,8,牡5,57,丹内祐次,2:02.6,1.1/2,4-4-7-7,37.1,472(+2),[東] 高木登,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),8,8,3,ライラック,202507020211|3|ライラック,3,牝6,55,石川裕紀,2:03.1,3,5-4-4-5,37.8,446(+2),[東] 相沢郁,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),9,9,9,ラヴェル,202507020211|9|ラヴェル,8,牝5,55,北村友一,2:03.6,3,7-7-6-5,38.3,480(+12),[西] 矢作芳人,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),10,10,1,アスクドゥポルテ,202507020211|1|アスクドゥポルテ,1,牡5,57,岩田望来,2:04.7,7,7-7-7-7,39.2,470(-6),[西] 梅田智之,https://db.netkeiba.com/race/202507020211/
202509010811,第73回阪神大賞典(GII),1,1,9,サンライズアース,202509010811|9|サンライズアース,7,牡4,56,池添謙一,3:03.3,,1-1-2-2,35.0,526(-8),[西] 石坂公一,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),2,2,7,マコトヴェリーキー,202509010811|7|マコトヴェリーキー,6,牡5,57,岩田望来,3:04.3,6,2-2-1-1,36.1,466(-10),[西] 上村洋行,https://db.netkeiba.com/race/202509010811/
202509010811,第73回阪神大賞典(GII),3,3,5,ブローザホーン,202509010811|5|ブローザホーン,5,牡6,59,菅原明良,3:04.4,1/2,7-8-8-7,35.5,434(+2),[西] 吉岡辰弥,https://db.netkeiba.com/race/202509010811/
