Race_ID,Bet_Type,Status,Odds_Payload_Bytes,Fetched_At_UTC,Error
202505010811,TRIO,OK,20324,2026-09-07T10:11:34.142919+00:00,
202505010811,TRIFECTA,OK,128624,2026-09-07T10:11:34.146609+00:00,
202509020411,WIN,OK,856,2026-09-07T10:11:34.150509+00:00,
202509020411,QUINELLA,OK,3378,2026-09-07T10:11:34.161592+00:00,
202509020411,WIDE,OK,3438,2026-09-07T10:11:34.163559+00:00,
202509020411,EXACTA,OK,6923,2026-09-07T10:11:34.270869+00:00,
202509020411,TRIO,OK,16370,2026-09-07T10:11:34.281882+00:00,
202509020411,TRIFECTA,OK,103538,2026-09-07T10:11:34.299440+00:00,
202508020411,WIN,OK,863,2026-09-07T10:11:34.340746+00:00,
202508020411,QUINELLA,OK,3428,2026-09-07T10:11:34.353597+00:00,
202508020411,WIDE,OK,3492,2026-09-07T10:11:34.361404+00:00,
202508020411,EXACTA,OK,7034,2026-09-07T10:11:34.377645+00:00,
202508020411,TRIO,OK,16586,2026-09-07T10:11:34.381680+00:00,
202508020411,TRIFECTA,OK,104656,2026-09-07T10:11:34.457465+00:00,
202505030211,WIN,OK,1036,2026-09-07T10:11:34.502902+00:00,
202505030211,QUINELLA,OK,5044,2026-09-07T10:11:34.534574+00:00,
202505030211,WIDE,OK,5192,2026-09-07T10:11:34.545985+00:00,
202505030211,EXACTA,OK,10302,2026-09-07T10:11:34.558905+00:00,
202505030211,TRIO,OK,29956,2026-09-07T10:11:34.575614+00:00,
202505030211,TRIFECTA,OK,189262,2026-09-07T10:11:34.598278+00:00,
202509030411,WIN,OK,976,2026-09-07T10:11:34.607761+00:00,
202509030411,QUINELLA,OK,4433,2026-09-07T10:11:34.618996+00:00,
202509030411,WIDE,OK,4511,2026-09-07T10:11:34.651799+00:00,
202509030411,EXACTA,OK,9072,2026-09-07T10:11:34.656132+00:00,
202509030411,TRIO,OK,24726,2026-09-07T10:11:34.673603+00:00,
202509030411,TRIFECTA,OK,156359,2026-09-07T10:11:34.710192+00:00,
202506040911,WIN,OK,916,2026-09-07T10:11:34.719043+00:00,
202506040911,QUINELLA,OK,3890,2026-09-07T10:11:34.734432+00:00,
202506040911,WIDE,OK,3948,2026-09-07T10:11:34.750512+00:00,
202506040911,EXACTA,OK,7986,2026-09-07T10:11:34.800067+00:00,
202506040911,TRIO,OK,20276,2026-09-07T10:11:34.805165+00:00,
202506040911,TRIFECTA,OK,128295,2026-09-07T10:11:34.840472+00:00,
202505041111,WIN,OK,795,2026-09-07T10:11:34.850202+00:00,
202505041111,QUINELLA,OK,2886,2026-09-07T10:11:34.880247+00:00,
202505041111,WIDE,OK,2937,2026-09-07T10:11:34.902211+00:00,
202505041111,EXACTA,OK,5947,2026-09-07T10:11:34.913712+00:00,
202505041111,TRIO,OK,12915,2026-09-07T10:11:34.925746+00:00,
202505041111,TRIFECTA,OK,81975,2026-09-07T10:11:34.931468+00:00,
202507050211,WIN,OK,923,2026-09-07T10:11:35.002356+00:00,
202507050211,QUINELLA,OK,3902,2026-09-07T10:11:35.009357+00:00,
202507050211,WIDE,OK,3993,2026-09-07T10:11:35.012114+00:00,
202507050211,EXACTA,OK,8053,2026-09-07T10:11:35.018982+00:00,
202507050211,TRIO,OK,20355,2026-09-07T10:11:35.033992+00:00,
202507050211,TRIFECTA,OK,128800,2026-09-07T10:11:35.055151+00:00,
202506010111,WIN,OK,1034,2026-09-07T10:11:35.086933+00:00,
202506010111,QUINELLA,OK,4992,2026-09-07T10:11:35.096434+00:00,
202506010111,WIDE,OK,5089,2026-09-07T10:11:35.100488+00:00,
202506010111,EXACTA,OK,10227,2026-09-07T10:11:35.116920+00:00,
202506010111,TRIO,OK,29743,2026-09-07T10:11:35.194166+00:00,
202506010111,TRIFECTA,OK,188061,2026-09-07T10:11:35.215848+00:00,
202507010111,WIN,OK,917,2026-09-07T10:11:35.219269+00:00,
202507010111,QUINELLA,OK,3874,2026-09-07T10:11:35.221351+00:00,
202507010111,WIDE,OK,3937,2026-09-07T10:11:35.243926+00:00,
202507010111,EXACTA,OK,7948,2026-09-07T10:11:35.289029+00:00,
202507010111,TRIO,OK,20231,2026-09-07T10:11:35.291053+00:00,
202507010111,TRIFECTA,OK,127942,2026-09-07T10:11:35.298471+00:00,
202505010211,WIN,OK,916,2026-09-07T10:11:35.309395+00:00,
202505010211,QUINELLA,OK,3898,2026-09-07T10:11:35.345742+00:00,
202505010211,WIDE,OK,3961,2026-09-07T10:11:35.360262+00:00,
202505010211,EXACTA,OK,7995,2026-09-07T10:11:35.390481+00:00,
202505010211,TRIO,OK,20319,2026-09-07T10:11:35.410566+00:00,
202505010211,TRIFECTA,OK,128426,2026-09-07T10:11:35.412985+00:00,
202505010411,WIN,OK,919,2026-09-07T10:11:35.427121+00:00,
202505010411,QUINELLA,OK,3910,2026-09-07T10:11:35.466454+00:00,
202505010411,WIDE,OK,3951,2026-09-07T10:11:35.495124+00:00,
202505010411,EXACTA,OK,8009,2026-09-07T10:11:35.503060+00:00,
202505010411,TRIO,OK,20313,2026-09-07T10:11:35.515630+00:00,
202505010411,TRIFECTA,OK,128535,2026-09-07T10:11:35.532963+00:00,
202510011011,WIN,OK,795,2026-09-07T10:11:35.539557+00:00,
202510011011,QUINELLA,OK,2881,2026-09-07T10:11:35.568740+00:00,
202510011011,WIDE,OK,2927,2026-09-07T10:11:35.596349+00:00,
202510011011,EXACTA,OK,5865,2026-09-07T10:11:35.631135+00:00,
202510011011,TRIO,OK,12685,2026-09-07T10:11:35.638941+00:00,
202510011011,TRIFECTA,OK,79746,2026-09-07T10:11:35.648891+00:00,
202504010511,WIN,OK,909,2026-09-07T10:11:35.705775+00:00,
202504010511,QUINELLA,OK,3836,2026-09-07T10:11:35.708017+00:00,
202504010511,WIDE,OK,3907,2026-09-07T10:11:35.714403+00:00,
202504010511,EXACTA,OK,7876,2026-09-07T10:11:35.739573+00:00,
202504010511,TRIO,OK,20005,2026-09-07T10:11:35.742950+00:00,
202504010511,TRIFECTA,OK,127092,2026-09-07T10:11:35.771801+00:00,
202502010611,WIN,OK,791,2026-09-07T10:11:35.790421+00:00,
202502010611,QUINELLA,OK,2857,2026-09-07T10:11:35.833056+00:00,
202502010611,WIDE,OK,2918,2026-09-07T10:11:35.836015+00:00,
202502010611,EXACTA,OK,5862,2026-09-07T10:11:35.884572+00:00,
202502010611,TRIO,OK,12753,2026-09-07T10:11:35.898778+00:00,
202502010611,TRIFECTA,OK,81192,2026-09-07T10:11:35.903206+00:00,
202503020611,WIN,OK,856,2026-09-07T10:11:35.905611+00:00,
202503020611,QUINELLA,OK,3356,2026-09-07T10:11:35.929806+00:00,
202503020611,WIDE,OK,3406,2026-09-07T10:11:35.956057+00:00,
202503020611,EXACTA,OK,6906,2026-09-07T10:11:36.004385+00:00,
202503020611,TRIO,OK,16260,2026-09-07T10:11:36.014769+00:00,
202503020611,TRIFECTA,OK,103166,2026-09-07T10:11:36.017752+00:00,
202504020207,WIN,OK,1032,2026-09-07T10:11:36.024834+00:00,
202504020207,QUINELLA,OK,5003,2026-09-07T10:11:36.040062+00:00,
202504020207,WIDE,OK,5089,2026-09-07T10:11:36.063364+00:00,
202504020207,EXACTA,OK,10223,2026-09-07T10:11:36.070005+00:00,
202504020207,TRIO,OK,29710,2026-09-07T10:11:36.094827+00:00,
202504020207,TRIFECTA,OK,187857,2026-09-07T10:11:36.102409+00:00,
202501010511,WIN,OK,797,2026-09-07T10:11:36.140704+00:00,
202501010511,QUINELLA,OK,2892,2026-09-07T10:11:36.161013+00:00,
202501010511,WIDE,OK,2946,2026-09-07T10:11:36.168075+00:00,
202501010511,EXACTA,OK,5962,2026-09-07T10:11:36.200780+00:00,
202501010511,TRIO,OK,12960,2026-09-07T10:11:36.229086+00:00,
202501010511,TRIFECTA,OK,82045,2026-09-07T10:11:36.233477+00:00,
202507030207,WIN,OK,915,2026-09-07T10:11:36.240577+00:00,
202507030207,QUINELLA,OK,3872,2026-09-07T10:11:36.263488+00:00,
202507030207,WIDE,OK,3924,2026-09-07T10:11:36.269963+00:00,
202507030207,EXACTA,OK,7943,2026-09-07T10:11:36.316628+00:00,
202507030207,TRIO,OK,20213,2026-09-07T10:11:36.319830+00:00,
202507030207,TRIFECTA,OK,127843,2026-09-07T10:11:36.337257+00:00,
202505050311,WIN,OK,921,2026-09-07T10:11:36.343700+00:00,
202505050311,QUINELLA,OK,3908,2026-09-07T10:11:36.355294+00:00,
202505050311,WIDE,OK,3961,2026-09-07T10:11:36.378789+00:00,
202505050311,EXACTA,OK,8022,2026-09-07T10:11:36.419133+00:00,
202505050311,TRIO,OK,20357,2026-09-07T10:11:36.425867+00:00,
202505050311,TRIFECTA,OK,128555,2026-09-07T10:11:36.449676+00:00,
